secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1771,0,93,11.2377,54.2304,0,0,58.6,-5.45420590,36.21314865,0,-8.67739,-255,0,-255,0,0,0,0,0,0,0,0
1772,0,93,11.2526,53.982,0,0,57,-5.45404010,36.21315091,0,-8.574,-255,0,-255,0,0,0,0,0,0,0,0
1773,0,93,11.2677,54.4464,0,0,55.8,-5.45387238,36.21314571,0,-8.18268,-255,0,-255,0,0,0,0,0,0,0,0
1774,0,88,11.2829,54.144,0,0,55,-5.45370500,36.21313213,0,-7.77091,-255,0,-255,0,0,0,0,0,0,0,0
1775,0,87,11.2978,53.8128,0,0,54,-5.45354004,36.21311587,0,-7.89933,-255,0,-255,0,0,0,0,0,0,0,0
1776,0,85,11.3125,53.3952,0,0,53,-5.45337819,36.21309701,0,-8.17281,-255,0,-255,0,0,0,0,0,0,0,0
1777,0,84,11.3272,53.0352,0,0,51.8,-5.45321600,36.21307966,0,-8.30828,-255,0,-255,0,0,0,0,0,0,0,0
1778,0,83,11.3417,52.218,0,0,50.4,-5.45305557,36.21306374,0,-8.4566,-255,0,-255,0,0,0,0,0,0,0,0
1779,0,80,11.3562,51.8616,0,0,49.2,-5.45289698,36.21304379,0,-8.35111,-255,0,-255,0,0,0,0,0,0,0,0
1780,0,79,11.3704,51.21,0,0,48.6,-5.45273974,36.21302552,0,-7.84289,-255,0,-255,0,0,0,0,0,0,0,0
1781,0,79,11.3846,50.922,0,0,47.4,-5.45258358,36.21300858,0,-7.62454,-255,0,-255,0,0,0,0,0,0,0,0
1782,0,78,11.3985,50.256,0,0,46.6,-5.45242986,36.21299400,0,-7.12617,-255,0,-255,0,0,0,0,0,0,0,0
1783,0,77,11.4124,49.68,0,0,45.6,-5.45227697,36.21298176,0,-7.05501,-255,0,-255,0,0,0,0,0,0,0,0
1784,0,77,11.4262,49.6188,0,0,44.8,-5.45212375,36.21297363,0,-7.10523,-255,0,-255,0,0,0,0,0,0,0,0
1785,0,77,11.44,49.932,0,0,43.8,-5.45196977,36.21296802,0,-7.15778,-255,0,-255,0,0,0,0,0,0,0,0
1786,0,77,11.4541,50.814,0,0,42.6,-5.45181345,36.21297296,0,-7.33043,-255,0,-255,0,0,0,0,0,0,0,0
1787,0,79,11.4682,50.8644,0,0,41.2,-5.45165730,36.21298252,0,-7.50966,-255,0,-255,0,0,0,0,0,0,0,0
1788,0,80,11.4828,52.5708,0,0,39.8,-5.45149569,36.21299777,0,-7.5031,-255,0,-255,0,0,0,0,0,0,0,0
1789,0,81,11.497,51.1092,0,0,38.6,-5.45133920,36.21301328,0,-7.51776,-255,0,-255,0,0,0,0,0,0,0,0
1790,0,83,11.511,50.4324,0,0,37.4,-5.45118380,36.21302652,0,-7.95165,-255,0,-255,0,0,0,0,0,0,0,0
1791,86,85,11.5249,50.0328,0,110,36.6,-5.45103109,36.21304320,0,-7.68242,-255,0,-255,0,0,0,0,0,0,0,0
1792,99,87,11.5387,50.0472,0,205,36,-5.45087853,36.21305678,0,-7.54215,-255,0,-255,0,0,0,0,0,0,0,0
1793,99,87,11.5527,50.436,0,0,35.2,-5.45072339,36.21304077,0,-7.38707,-255,0,-255,0,0,0,0,0,0,0,0
1794,99,87,11.567,50.8068,0,0,34,-5.45057301,36.21300104,0,-7.65166,-255,0,-255,0,0,0,0,0,0,0,0
1795,0,87,11.5802,48.2112,0,0,33,-5.45045148,36.21293432,0,-7.68775,-255,0,-255,0,0,0,0,0,0,0,0
1796,0,87,11.5927,45.9036,0,0,32.4,-5.45034930,36.21285687,0,-7.31177,-255,0,-255,0,0,0,0,0,0,0,0
1797,24,87,11.6052,44.8704,0,28,32.4,-5.45024771,36.21278118,0,-6.31677,-255,0,-255,0,0,0,0,0,0,0,0
1798,79,90,11.6172,43.5744,0,196,32.2,-5.45014847,36.21270835,0,-5.52594,-255,0,-255,0,0,0,0,0,0,0,0
1799,79,92,11.629,42.3756,0,205,32.2,-5.45004923,36.21263794,0,-4.67965,-255,0,-255,0,0,0,0,0,0,0,0
1800,80,95,11.6405,41.418,0,240,32.2,-5.44995829,36.21256510,0,-3.82561,-255,0,-255,0,0,0,0,0,0,0,0
1801,86,96,11.6516,39.4632,0,246,32.6,-5.44987111,36.21249536,0,-2.88502,-255,0,-255,0,0,0,0,0,0,0,0
1802,91,97,11.6625,39.3552,0,231,32.8,-5.44978729,36.21242428,0,-2.26724,-255,0,-255,0,0,0,0,0,0,0,0
1803,108,97,11.6736,39.8916,0,207,32.6,-5.44970750,36.21234759,0,-1.87791,-255,0,-255,0,0,0,0,0,0,0,0
1804,97,97,11.6856,42.7752,0,176,32.4,-5.44963164,36.21225899,0,-1.20123,-255,0,-255,0,0,0,0,0,0,0,0
1805,97,98,11.6981,44.8776,0,198,31,-5.44957045,36.21215782,0,-1.56367,-255,0,-255,0,0,0,0,0,0,0,0
1806,87,98,11.7106,45.0936,0,198,29.8,-5.44952184,36.21205196,0,-2.04366,-255,0,-255,0,0,0,0,0,0,0,0
1807,86,100,11.7229,44.4528,0,183,29,-5.44947163,36.21194878,0,-2.69408,-255,0,-255,0,0,0,0,0,0,0,0
1808,83,101,11.735,43.578,0,139,28.8,-5.44940072,36.21185574,0,-2.69272,-255,0,-255,0,0,0,0,0,0,0,0
1809,83,102,11.747,42.7608,0,271,28.8,-5.44929754,36.21178692,0,-2.69272,-255,0,-255,0,0,0,0,0,0,0,0
1810,83,102,11.7586,41.2164,0,271,29.4,-5.44917315,36.21175993,0,-2.17415,-255,0,-255,0,0,0,0,0,0,0,0
1811,75,103,11.7701,40.4532,0,271,29.4,-5.44904550,36.21176831,0,-2.5371,-255,0,-255,0,0,0,0,0,0,0,0
1812,76,105,11.7813,39.798,0,265,29.8,-5.44892387,36.21178742,0,-2.36136,-255,0,-255,0,0,0,0,0,0,0,0
1813,76,106,11.7917,37.5912,0,262,30,-5.44881592,36.21182288,0,-1.99085,-255,0,-255,0,0,0,0,0,0,0,0
1814,80,107,11.8016,35.3304,0,270,30.4,-5.44871500,36.21185792,0,-1.41836,-255,0,-255,0,0,0,0,0,0,0,0
1815,83,108,11.8109,33.3936,0,269,30.4,-5.44861928,36.21188960,0,-0.29836,-255,0,-255,0,0,0,0,0,0,0,0
1816,91,109,11.8194,30.5784,0,279,30.6,-5.44852783,36.21191030,0,0.892767,-255,0,-255,0,0,0,0,0,0,0,0
1817,100,110,11.8276,29.3328,0,240,31,-5.44843772,36.21191483,0,2.03579,-255,0,-255,0,0,0,0,0,0,0,0
1818,106,111,11.8356,28.6128,0,192,31,-5.44834837,36.21191257,0,2.20054,-255,0,-255,0,0,0,0,0,0,0,0
1819,95,111,11.8435,28.3752,0,170,31.2,-5.44826087,36.21190477,0,2.45338,-255,0,-255,0,0,0,0,0,0,0,0
1820,85,112,11.8514,28.4688,0,177,31.4,-5.44817613,36.21188516,0,2.18733,-255,0,-255,0,0,0,0,0,0,0,0
1821,86,112,11.8597,29.4984,0,197,31.8,-5.44809222,36.21185448,0,2.66984,-255,0,-255,0,0,0,0,0,0,0,0
